gene_id	LFC
CNAG_01821	1.65E+00
CNAG_00488	6.95E-01
CNAG_00852	1.90E-01
CNAG_13174	1.59E+00
CNAG_02181	2.80E-01
CNAG_05881	-2.08E-01
CNAG_01385	4.03E-01
CNAG_01355	-2.10E-01
CNAG_04776	-4.87E-01
CNAG_04008	3.67E-01
CNAG_12739	7.57E-01
CNAG_03920	-2.76E-01
CNAG_08004	4.89E-01
CNAG_12073	-1.22E+00
CNAG_01924	-4.00E-01
CNAG_02591	-1.48E+00
CNAG_03914	4.28E-01
CNAG_12126	-5.27E-01
CNAG_07594	-5.25E-01
CNAG_00656	-4.22E-01
CNAG_02569	-3.09E-01
CNAG_06101	-3.30E-01
CNAG_05939	-1.50E+00
CNAG_06930	-5.95E-01
CNAG_00153	-3.75E-01
CNAG_05774	-2.59E-01
CNAG_12936	4.81E-01
CNAG_06686	-3.76E-01
CNAG_04158	3.23E-01
CNAG_00128	4.81E-01
CNAG_01229	-2.18E-01
CNAG_13087	-8.01E-01
CNAG_04525	4.60E-01
CNAG_05267	-4.76E-01
CNAG_12277	-2.34E+00
CNAG_04098	9.05E-01
CNAG_03174	-4.81E-01
CNAG_03671	3.00E-01
CNAG_06865	-4.42E-01
CNAG_03708	-1.69E-01
CNAG_01295	-3.85E-01
CNAG_05161	2.53E-01
CNAG_02195	4.37E-01
CNAG_04514	6.29E-01
CNAG_00887	1.33E+00
CNAG_12219	1.17E+00
CNAG_04680	-4.56E-01
CNAG_04089	-2.92E-01
CNAG_04153	4.26E-01
CNAG_01370	8.22E-01
CNAG_04618	3.44E-01
CNAG_01196	-4.93E-01
CNAG_06791	3.88E-01
CNAG_03511	-1.50E+00
CNAG_07826	-1.62E+00
CNAG_13058	1.68E+00
CNAG_02686	-3.84E-01
CNAG_05540	-3.39E-01
CNAG_04021	-4.85E-01
CNAG_06824	2.64E-01
CNAG_06113	-3.75E-01
CNAG_06573	5.75E-01
CNAG_01571	3.15E-01
CNAG_06066	4.40E+00
CNAG_01044	-6.31E-01
CNAG_01065	-2.53E-01
CNAG_06235	-4.90E-01
CNAG_02662	6.91E-01
CNAG_07458	5.46E-01
CNAG_02128	-4.71E-01
CNAG_07489	5.15E-01
CNAG_05483	-3.86E-01
CNAG_03277	4.77E-01
CNAG_03687	4.40E-01
CNAG_00650	4.12E-01
CNAG_04063	-2.46E-01
CNAG_04656	-8.20E-01
CNAG_00045	7.40E-01
CNAG_01134	1.92E-01
CNAG_06800	-5.28E-01
CNAG_00353	-2.51E-01
CNAG_01512	3.02E-01
CNAG_12176	-8.28E-01
CNAG_04493	2.55E-01
CNAG_01323	-3.26E-01
CNAG_02027	3.24E-01
CNAG_00525	1.46E-01
CNAG_05743	-3.99E-01
CNAG_04080	-6.09E-01
CNAG_04437	-4.86E-01
CNAG_02506	2.48E-01
CNAG_03165	-5.11E-01
CNAG_02478	2.70E-01
CNAG_07834	-1.39E+00
CNAG_02397	-3.39E-01
CNAG_12788	1.37E+00
CNAG_05963	3.31E-01
CNAG_02701	2.84E+00
CNAG_03632	-4.63E-01
CNAG_03812	-7.31E-01
CNAG_02796	-4.67E-01
CNAG_04438	-2.93E-01
CNAG_06916	-5.45E-01
CNAG_02212	-3.47E-01
CNAG_05656	4.63E-01
CNAG_04878	-2.49E-01
CNAG_00014	6.20E-01
CNAG_12319	-4.83E-01
CNAG_05181	3.74E-01
CNAG_07460	-2.13E-01
CNAG_02205	6.02E-01
CNAG_04747	4.84E-01
CNAG_02787	-2.42E-01
CNAG_02321	2.57E+00
CNAG_00407	2.78E-01
CNAG_06252	-5.32E-01
CNAG_06352	3.00E-01
CNAG_04852	-2.77E-01
CNAG_01198	-5.34E-01
CNAG_04399	-3.27E-01
